OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2026-05-26T23:53:15.475200,12.53697708,.00123419,101.9906,160.0208,169.8542,245.9406,0,U,7530,999,35786,.1312816E-3,-.25E-6,0
PHASE 3B (AO-10),1983-058B,2026-05-26T12:26:14.651232,2.05869340,.60183142,25.8989,223.1592,109.7054,321.9164,0,U,14129,999,29504,0,.118E-5,0
UOSAT 2 (UO-11),1984-021B,2026-05-26T21:02:30.728256,14.90723747,.00061046,97.8045,112.6924,251.5908,108.4647,0,U,14781,999,25395,.12349592E-3,.1157E-4,0
LUSAT (LO-19),1990-005G,2026-05-26T23:20:00.789504,14.34115712,.00104289,98.8859,168.1924,268.3531,91.6458,0,U,20442,999,89935,.6416556E-4,.133E-5,0
EYESAT A (AO-27),1993-061C,2026-05-26T17:49:52.284864,14.30935496,.00088649,98.6888,214.1633,156.4892,203.6697,0,U,22825,999,70393,.50440287E-4,.88E-6,0
ITAMSAT (IO-26),1993-061D,2026-05-26T17:29:25.667520,14.31361650,.00096658,98.6834,214.0644,141.2194,218.9684,0,U,22826,999,70424,.49795726E-4,.87E-6,0
RADIO ROSTO (RS15),1994-085A,2026-05-26T22:03:46.744992,11.27583647,.0155342,64.8187,337.6135,7.7936,352.5350,0,U,23439,999,29350,.40764236E-3,-.28E-6,0
JAS-2 (FO-29),1996-046B,2026-05-26T13:46:34.960800,13.53273246,.03503505,98.5262,358.4047,152.3898,209.6342,0,U,24278,999,47024,.28131457E-4,-.6E-7,0
TECHSAT 1B (GO-32),1998-043D,2026-05-26T22:06:33.123744,14.24423663,.00002885,99.0063,139.1445,317.0557,43.0598,0,U,25397,999,44830,.51470943E-4,.72E-6,0
ISS (ZARYA),1998-067A,2026-05-26T18:38:25.768896,15.49400906,.00074211,51.6334,46.0936,101.1111,259.0712,0,U,25544,999,56843,.21582061E-3,.11632E-3,0
PCSAT (NO-44),2001-043C,2026-05-26T20:33:13.906944,14.31946804,.00061691,67.0509,299.4420,263.9323,96.1076,0,U,26931,999,28739,.88998789E-4,.156E-5,0
SAUDISAT 1C (SO-50),2002-058C,2026-05-26T13:50:17.784672,14.82993695,.00755937,64.5512,195.8458,266.4290,92.8168,0,U,27607,999,26125,.11987977E-3,.868E-5,0
CUTE-1 (CO-55),2003-031E,2026-05-26T23:06:14.819328,14.24320752,.00084008,98.6739,155.7887,243.9015,116.1300,0,U,27844,999,18865,.15111612E-3,.305E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-05-26T22:34:19.064352,14.23607874,.00082104,98.6769,155.4964,265.3435,94.6805,0,U,27848,999,18835,.13438205E-3,.262E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-05-26T23:22:46.394976,14.73424590,.00109164,98.3473,330.7350,342.9286,170.7247,0,U,27939,999,21242,.21965562E-3,.1372E-4,0
CUBESAT XI-V,2005-043F,2026-05-26T09:18:01.804896,14.72563294,.00127715,98.2962,301.5556,274.9543,85.0206,0,U,28895,999,9854,.22484093E-3,.1378E-4,0
CUTE-1.7+APD II (CO-65),2008-021C,2026-05-26T21:38:21.800544,15.09211331,.00105959,97.8260,127.8825,99.7896,260.4529,0,U,32785,999,98198,.3913241E-3,.6164E-4,0
SEEDS II (CO-66),2008-021J,2026-05-26T23:28:38.284032,15.31912449,.00040263,97.7518,143.8769,55.8538,304.3084,0,U,32791,999,98404,.63427162E-3,.19493E-3,0
YUBILEINY (RS30),2008-025A,2026-05-26T22:23:08.368800,12.43178174,.00197684,82.5061,8.6628,0.9337,359.1777,0,U,32953,999,81705,-.21086329E-3,-.19E-6,0
KKS-1 (KISEKI),2009-002H,2026-05-26T20:51:56.600640,14.83058704,.00081217,98.1195,68.9743,10.4265,349.7115,0,U,33499,999,93303,.17745293E-3,.1389E-4,0
SWISSCUBE,2009-051B,2026-05-26T23:00:53.688672,14.62433483,.00054682,98.4053,54.4768,283.6424,76.4168,0,U,35932,999,88605,.21599451E-3,.1044E-4,0
BEESAT-1,2009-051C,2026-05-26T22:58:38.870112,14.61679755,.0004138,98.3980,54.1548,303.4771,56.6033,0,U,35933,999,88608,.18639251E-3,.879E-5,0
ITUPSAT1,2009-051E,2026-05-26T17:22:48.881568,14.60402517,.0006521,98.4066,53.1326,313.8256,46.2404,0,U,35935,999,88560,.16358911E-3,.743E-5,0
XIWANG-1 (HOPE-1),2009-072B,2026-05-26T23:08:20.691168,13.16438419,.00068825,100.4011,101.1365,284.8722,75.1629,0,U,36122,999,79021,-.45939749E-3,-.22E-5,0
O/OREOS (USA 219),2010-062C,2026-05-26T23:11:08.664864,14.93636622,.00124787,71.9682,128.4043,109.7843,250.4674,0,U,37224,999,11347,.21481873E-3,.2211E-4,0
JUGNU,2011-058B,2026-05-26T21:51:26.187264,14.13769759,.00185742,19.9610,77.6825,200.9287,220.0945,0,U,37839,999,75601,.88358887E-4,.437E-5,0
SRMSAT,2011-058D,2026-05-26T03:49:23.867328,14.11570317,.00116708,19.9702,192.8027,322.7286,67.7002,0,U,37841,999,75470,.66326809E-4,.387E-5,0
STRAND-1,2013-009E,2026-05-26T23:03:08.911584,14.37148833,.00075067,98.3917,327.7182,298.6291,61.4140,0,U,39090,999,69401,.11426144E-3,.297E-5,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2026-05-26T21:02:13.609824,15.01005545,.00402701,97.8104,109.0975,323.3448,36.5021,0,U,39417,999,67753,.39143245E-3,.502E-4,0
GOMX-1,2013-066Q,2026-05-26T22:33:39.111264,14.69363205,.01294945,97.6503,348.7435,145.1619,215.8151,0,U,39430,999,66679,.42270133E-3,.2791E-4,0
CUBEBUG-2 (LO-74),2013-066AA,2026-05-26T19:51:14.394816,14.93565666,.00595351,97.8895,95.7200,97.9174,262.8809,0,U,39440,999,67380,.33355034E-3,.358E-4,0
FUNCUBE-1 (AO-73),2013-066AE,2026-05-26T20:12:30.292992,15.09178745,.0034359,97.8263,117.8481,276.9262,82.8058,0,U,39444,999,67644,.48499118E-3,.7745E-4,0
UWE-3,2013-066AG,2026-05-26T19:48:42.856128,14.96815136,.00501599,97.8687,102.7600,33.0492,327.3847,0,U,39446,999,67438,.50635444E-3,.5888E-4,0
UNISAT-6,2014-033C,2026-05-26T22:53:00.560544,14.88101577,.00461964,97.7852,300.0449,137.3334,223.1486,0,U,40012,999,64300,.38133662E-3,.3522E-4,0
DUCHIFAT-1,2014-033M,2026-05-26T16:40:13.833984,15.60146189,.00059959,98.0487,202.9100,154.3334,205.8219,0,U,40021,999,65239,.10199889E-2,.83513E-3,0
QB50P1,2014-033R,2026-05-26T14:18:34.970976,15.17869960,.0007147,98.0970,156.2344,306.1827,53.8744,0,U,40025,999,64975,.39280233E-3,.7888E-4,0
LILACSAT-2,2015-049K,2026-05-26T22:02:15.204192,15.50645642,.00060035,97.4675,182.9608,346.7490,13.3603,0,U,40908,999,59245,.32841079E-3,.18761E-3,0
FOX-1A (AO-85),2015-058D,2026-05-26T22:55:03.887904,14.90831707,.01295029,64.7768,344.9616,64.9353,296.5137,0,U,40967,999,11040,.33513469E-3,.3708E-4,0
CAS-2T & KS-1Q,2016-066G,2026-05-26T18:27:16.562016,14.44616806,.03417926,98.3824,222.7487,194.3605,164.7683,0,U,41847,999,50170,.19861079E-3,.1352E-4,0
RADFXSAT (FOX-1B),2017-073E,2026-05-26T09:02:17.608416,15.12266190,.01529589,97.4741,14.0420,44.4475,316.8911,0,U,43017,999,46209,.51636495E-3,.11834E-3,0
DIWATA-2B,2018-084H,2026-05-26T23:05:51.538848,15.00335700,.00116205,98.1140,342.2558,242.5954,117.4087,0,U,43678,999,41303,.23406726E-3,.2874E-4,0
ES'HAIL 2,2018-090A,2026-05-26T22:38:34.467072,1.00273722,.00018165,0.0149,281.1294,177.0060,151.8170,0,U,43700,999,2746,0,.149E-5,0
FOX-1CLIFF (AO-95),2018-099N,2026-05-26T16:58:43.397472,15.26169105,.0010089,97.4401,207.0397,70.2286,290.0040,0,U,43770,999,40994,.457125E-3,.11765E-3,0
ITASAT,2018-099AE,2026-05-26T16:14:50.891424,15.18732557,.00141557,97.4047,198.6209,71.7044,288.5729,0,U,43786,999,40964,.35536627E-3,.7332E-4,0
JY1SAT (JO-97),2018-099AX,2026-05-26T16:33:35.362368,15.32861779,.00049518,97.4148,209.4605,4.3444,355.7840,0,U,43803,999,41033,.51863229E-3,.16405E-3,0
UWE-4,2018-111E,2026-05-26T18:47:37.662720,15.44611892,.00096414,97.5855,74.2106,54.6110,305.6037,0,U,43880,999,40747,.68969316E-3,.32142E-3,0
TIANYAN 01,2019-093C,2026-05-26T23:24:53.625888,14.86479588,.00141571,97.7536,219.7249,150.8947,209.3060,0,U,44881,999,34826,.13233644E-3,.1118E-4,0
RS-44 & BREEZE-KM R/B,2019-096E,2026-05-26T15:52:41.513376,12.79748417,.02171956,82.5225,354.0118,194.4451,165.0379,0,U,44909,999,29959,.82284363E-4,.32E-6,0
SALSAT,2020-068K,2026-05-26T22:48:44.501184,15.29438454,.00103702,97.8852,148.7285,27.3279,332.8504,0,U,46495,999,31211,.31235681E-3,.8847E-4,0
XW-3 (CAS-9),2021-131B,2026-05-26T22:49:28.121088,14.41332960,.00046956,98.4965,239.4571,147.9446,212.2030,0,U,50466,999,23205,.96602584E-4,.268E-5,0
GREENCUBE (IO-117),2022-080E,2026-05-26T20:41:26.269440,6.42583277,.00088774,70.1433,305.6635,294.6917,65.2819,0,U,53109,999,9069,0,-.3E-7,0
UMKA 1 (RS40S),2023-091G,2026-05-26T21:44:14.220096,15.20530489,.00127745,97.5067,205.6877,186.5611,173.5459,0,U,57172,999,16077,.33043254E-3,.7174E-4,0
CUBESX-HSE 3 (RS42S),2023-091N,2026-05-26T22:20:54.816000,15.30587209,.00116571,97.5107,212.2583,160.9666,199.2012,0,U,57178,999,16117,.51815142E-3,.15289E-3,0
MONITOR-3 (RS58S),2023-091Q,2026-05-26T21:49:48.120672,15.27340592,.00123804,97.5100,210.2058,167.7543,192.4000,0,U,57180,999,16104,.45549574E-3,.12154E-3,0
MONITOR-4 (RS57S),2023-091S,2026-05-26T22:55:50.994912,15.27439130,.00123292,97.5093,210.2219,167.8664,192.2874,0,U,57182,999,16105,.41602403E-3,.11126E-3,0
MONITOR-2 (RS39S),2023-091U,2026-05-26T21:36:54.033696,15.18677469,.00113695,97.5089,205.3231,178.5980,181.5288,0,U,57184,999,16072,.28994657E-3,.5952E-4,0
SVYATOBOR 1 (RS60S),2023-091X,2026-05-26T22:49:00.004800,15.26190003,.00102561,97.5104,210.6556,159.1044,201.0615,0,U,57187,999,16107,.38905975E-3,.10005E-3,0
VIZARD-METEO (RS38S),2023-091Z,2026-05-26T21:43:35.684832,15.35238558,.00086919,97.5105,215.9749,140.8269,219.3604,0,U,57189,999,16142,.52668152E-3,.17979E-3,0
POLYTECH-UNIVERSE 3 (RS46S),2023-091AB,2026-05-26T22:20:05.297568,15.18874586,.00151657,97.5064,204.8578,197.4956,162.5757,0,U,57191,999,16072,.2574488E-3,.5314E-4,0
UTMN 2 (RS27S),2023-091AP,2026-05-26T23:03:08.886528,15.31445221,.00092508,97.5102,213.8956,147.0485,213.1334,0,U,57203,999,16129,.46460075E-3,.14058E-3,0
KUZGTU 1 (RS47S),2023-091AV,2026-05-26T21:41:31.861536,15.29288341,.00117565,97.5080,211.1746,164.3847,195.7758,0,U,57217,999,16112,.43789191E-3,.12396E-3,0
SONATE-2,2024-043Q,2026-05-26T22:36:19.382400,15.56981061,.00059356,97.5508,296.0656,272.5792,87.4783,0,U,59112,999,12458,.51346291E-3,.3706E-3,0
MESAT1,2024-125G,2026-05-26T20:05:53.088864,15.60709306,.00080783,97.2331,3.8684,295.3709,64.6712,0,U,60209,999,10623,.66547226E-3,.55476E-3,0
OOV-CUBE (TUBSAT-30),2024-128F,2026-05-26T18:17:37.641408,15.02648411,.00473636,61.9954,300.2744,129.0503,231.4817,0,U,60240,999,10289,.22934108E-3,.2932E-4,0
COLIBRI-S (RS67S),2024-199M,2026-05-26T21:55:47.193888,15.46712914,.00083428,97.3031,20.5861,11.8875,348.2570,0,U,61746,999,13412,.46666095E-3,.23303E-3,0
HORS 3 (RS81S),2024-199U,2026-05-26T21:46:09.327360,15.53327073,.00065284,97.3014,22.3461,22.3704,337.7832,0,U,61753,999,13425,.58768454E-3,.37128E-3,0
HORS 4 (RS82S),2024-199V,2026-05-26T22:16:45.085440,15.57495787,.00053331,97.2966,23.4397,18.3450,341.7997,0,U,61754,999,13433,.65562955E-3,.48329E-3,0
ARCTICSAT 1 (RS74S),2024-199AD,2026-05-26T21:25:13.601856,15.91831124,.00026086,97.2865,29.3822,163.3235,196.8125,0,U,61762,999,13471,.1170267E-2,.381128E-2,.57198824E-4
SIT-2086,2024-199AF,2026-05-26T20:37:32.540160,15.51437716,.00062724,97.2982,22.8468,359.6911,0.4337,0,U,61764,999,13112,.60624848E-3,.35786E-3,0
