OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
METOP-B,2012-049A,2026-05-26T22:21:12.979008,14.21426023,.00032587,98.6516,198.8533,65.6815,294.4703,0,U,38771,999,71024,.71616543E-4,.113E-5,0
SARAL,2013-009A,2026-05-26T22:50:53.473056,14.32850181,.0001925,98.5560,333.7884,24.9210,335.2066,0,U,39086,999,69256,.58785958E-4,.117E-5,0
METOP-C,2018-087A,2026-05-26T21:09:12.478752,14.21505454,.00008663,98.6654,206.8731,149.8549,210.2678,0,U,43689,999,39180,.64609927E-4,.98E-6,0
OTB-3-GAZELLE,2022-127A,2026-05-26T23:24:42.240096,14.42665593,.00118905,98.3937,139.0038,251.1695,108.8206,0,U,54023,999,19130,.609878E-4,.159E-5,0
EOS-6 (OCEANSAT-3),2022-158A,2026-05-26T22:24:50.873760,14.46985449,.0002072,98.3525,245.4115,73.8753,286.2667,0,U,54361,999,18476,.8995372E-4,.284E-5,0
KINEIS-1B,2024-114A,2026-05-26T23:12:05.523840,14.80583533,.00032815,97.9833,171.2547,138.3746,221.7716,0,U,60079,999,10426,.12021207E-3,.869E-5,0
KINEIS-1C,2024-114C,2026-05-27T00:00:38.515392,14.80586523,.0000683,97.9853,171.1319,117.5850,242.5432,0,U,60081,999,10424,.12138558E-3,.878E-5,0
KINEIS-1D,2024-114D,2026-05-26T23:08:03.526080,14.76224684,.00003005,97.9897,167.3308,144.0733,216.0496,0,U,60082,999,10399,.10346789E-3,.665E-5,0
KINEIS-1E,2024-114E,2026-05-26T22:49:39.977760,14.80585793,.00010696,97.8951,170.6991,286.8241,73.2854,0,U,60083,999,10424,-.8950049E-5,-.12E-5,0
KINEIS-1A,2024-114F,2026-05-26T23:37:32.655936,14.80585150,.00036416,97.8926,170.8421,187.6402,172.4756,0,U,60084,999,10425,.17385864E-3,.1282E-4,0
KINEIS-3C,2024-172A,2026-05-26T19:13:18.081408,14.72309609,.00014918,98.0426,236.9256,159.1319,200.9950,0,U,61220,999,8992,.33451398E-3,.2065E-4,0
