OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TDRS 3,1988-091B,2026-05-26T22:17:04.456320,1.00264010,.0039207,12.6179,341.1474,358.0673,190.3673,0,U,19548,999,12517,0,-.305E-5,0
FLTSATCOM 8 (USA 46),1989-077A,2026-05-26T23:07:01.192800,1.00265028,.0005913,12.4275,351.2933,30.6048,334.9449,0,U,20253,999,26035,0,-.372E-5,0
SKYNET 4C,1990-079A,2026-05-26T17:32:41.966592,1.00277362,.00028829,13.3461,349.9652,66.1193,124.7916,0,U,20776,999,13067,0,.12E-5,0
TDRS 5,1991-054B,2026-05-26T18:18:08.282304,1.00266609,.00064409,14.0741,353.9424,287.0318,70.3576,0,U,21639,999,12749,0,.78E-6,0
TDRS 6,1993-003B,2026-05-26T22:59:46.059936,1.00279133,.0006891,14.1828,357.2184,180.1985,6.0406,0,U,22314,999,12219,0,-.301E-5,0
UFO 2 (USA 95),1993-056A,2026-05-26T05:32:48.432768,1.00278600,.00078738,11.8874,3.6773,2.5961,349.4759,0,U,22787,999,11832,0,.12E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-05-25T12:55:21.158976,0.98723650,.00008751,17.5949,27.9428,269.7485,270.7534,0,U,22988,999,3272,0,-.236E-5,0
UFO 4 (USA 108),1995-003A,2026-05-26T19:55:06.485088,1.00269034,.00030911,9.6986,13.3035,43.5874,298.5630,0,U,23467,999,11473,0,-.25E-6,0
TDRS 7,1995-035B,2026-05-26T00:42:03.627360,1.00270321,.00111096,13.3867,348.3442,72.8588,282.1717,0,U,23613,999,11302,0,-.248E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-05-26T06:19:55.411392,1.00367289,.0000991,14.0657,3.9170,90.7262,142.5599,0,U,23712,999,3266,0,-.155E-5,0
INMARSAT 3-F1,1996-020A,2026-05-26T03:21:23.057280,0.99984083,.00035139,10.5566,46.8362,18.2144,156.9655,0,U,23839,999,11003,0,-.243E-5,0
INMARSAT 3-F2,1996-053A,2026-05-26T09:36:31.489344,1.00003934,.00067276,9.8092,54.1576,11.4316,132.9038,0,U,24307,999,10870,0,-.82E-6,0
INMARSAT 3-F3,1996-070A,2026-05-26T19:24:24.427584,0.99974803,.00037587,10.2732,49.8565,358.5695,192.1950,0,U,24674,999,10769,0,.46E-6,0
AMC-3,1997-050A,2026-05-26T05:30:02.791008,1.00272493,.00030875,8.0940,64.3415,359.4305,190.5321,0,U,24936,999,5221,0,-.261E-5,0
USA 134,1997-065A,2026-05-26T07:36:28.967616,1.00272618,.00047037,12.7597,21.8904,337.3573,246.6124,0,U,25019,999,3273,0,-.68E-6,0
INMARSAT 3-F5,1998-006B,2026-05-26T04:59:30.304896,1.00269010,.00051647,9.6465,53.4787,8.6152,202.5398,0,U,25153,999,10367,0,-.292E-5,0
ABS-6,1999-053A,2026-05-26T21:33:53.595936,1.00271319,.00037987,0.0121,319.0531,118.2499,289.6630,0,U,25924,999,9762,0,-.115E-5,0
UFO 10 (USA 146),1999-063A,2026-05-26T02:05:38.807808,1.00267459,.00024555,9.8423,27.3270,15.9861,208.7726,0,U,25967,999,9712,0,-.192E-5,0
ASIASTAR,2000-016A,2026-05-26T17:53:06.532800,1.00273618,.00050659,9.0827,58.3845,5.8219,193.3988,0,U,26107,999,9570,0,-.333E-5,0
USA 149 (DSP 20),2000-024A,2026-05-26T09:19:56.589888,1.00266539,.00021733,13.1552,12.0128,322.6796,243.9959,0,U,26356,999,3269,0,.89E-6,0
