OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLETTE,1975-010A,2026-05-26T21:49:20.634240,13.82350262,.02055827,49.8221,188.5861,352.7462,7.0470,0,U,7646,999,59159,.22847072E-4,-.114E-5,0
LAGEOS 1,1976-039A,2026-05-26T15:01:23.248992,6.38664718,.0044679,109.8029,171.9588,306.8818,62.6076,0,U,8820,999,91176,0,.14E-6,0
AJISAI (EGS),1986-061A,2026-05-26T22:18:53.335008,12.44516472,.00113427,50.0083,212.7626,126.6935,281.7907,0,U,16908,999,47774,.44946749E-4,-.91E-6,0
COSMOS 1989 (ETALON 1),1989-001C,2026-05-26T08:10:57.478656,2.13156008,.00233296,64.9337,72.9421,217.6027,263.4339,0,U,19751,999,29090,0,-.54E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-05-25T12:29:56.543712,2.13204601,.00206197,64.9496,311.3160,212.5971,152.7735,0,U,20026,999,28802,0,-.53E-6,0
LAGEOS 2,1992-070B,2026-05-26T09:07:34.108896,6.47293589,.01377803,52.6604,280.4423,177.7674,206.3457,0,U,22195,999,79401,0,-.9E-7,0
STELLA,1993-061B,2026-05-26T23:04:59.387808,14.27469741,.00054306,98.7734,211.1362,304.6166,158.9651,0,U,22824,999,70174,.5077798E-5,-.33E-6,0
LARETS,2003-042F,2026-05-26T22:13:41.297088,14.63864715,.00135081,98.4134,308.6882,101.6467,258.6251,0,U,27944,999,21025,.21113139E-4,.6E-6,0
LARES,2012-006A,2026-05-26T16:36:47.606688,12.54932137,.00067507,69.4917,328.9618,52.1117,308.0519,0,U,38077,999,65437,.52812195E-4,-.3E-6,0
LARES-2,2022-080A,2026-05-22T12:00:19.705248,6.38965148,.00053735,70.1680,314.1386,340.7508,19.2827,0,U,53105,999,9002,0,-.11E-6,0
