OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-05-26T20:29:20.084352,14.46109745,.00417272,24.9712,339.2967,272.2707,218.0511,0,U,22490,999,75802,.62752851E-4,.416E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-05-26T22:06:33.123744,14.24423663,.00002885,99.0063,139.1445,317.0557,43.0598,0,U,25397,999,44830,.51470943E-4,.72E-6,0
SCD 2,1998-060A,2026-05-26T12:04:02.004672,14.45516065,.00164726,24.9940,205.8880,253.9072,247.5878,0,U,25504,999,45718,.50444348E-4,.363E-5,0
DLR-TUBSAT,1999-029B,2026-05-26T22:29:52.702656,14.52420261,.00152,98.6691,141.7431,57.4806,302.7855,0,U,25757,999,43016,.38334506E-4,.108E-5,0
TERRA,1999-068A,2026-05-26T20:46:13.783584,14.61083186,.00010676,97.9469,197.2557,327.8921,141.0832,0,U,25994,999,40649,.88950224E-4,.393E-5,0
MAROC-TUBSAT,2001-056D,2026-05-26T23:37:40.100160,13.70261499,.00196276,99.8074,323.4452,195.0653,281.5546,0,U,27004,999,22328,.38049013E-4,-.13E-6,0
AQUA,2002-022A,2026-05-26T21:38:00.559104,14.62119593,.0001862,98.4266,115.7613,63.4550,321.4916,0,U,27424,999,28016,.16930199E-3,.802E-5,0
SHIYAN-1 (SY-1),2004-012A,2026-05-26T18:43:55.404768,15.33114421,.00070507,97.8696,223.4683,99.0099,261.1940,0,U,28220,999,20781,.43626718E-3,.13891E-3,0
AURA,2004-026A,2026-05-26T19:52:36.348672,14.61290788,.00015196,98.3406,103.1070,71.1644,288.9722,0,U,28376,999,16309,.17319625E-3,.807E-5,0
IRS-P5 (CARTOSAT-1),2005-017A,2026-05-26T22:31:43.084704,14.90984480,.00025367,97.5317,170.9670,106.9641,253.1856,0,U,28649,999,14065,.15841335E-3,.1513E-4,0
SINAH 1,2005-043D,2026-05-26T22:29:37.579200,14.64140707,.00140263,98.2831,281.1378,348.0690,12.0178,0,U,28893,999,9741,.7267353E-4,.333E-5,0
RESURS-DK 1,2006-021A,2026-05-26T21:09:32.013792,15.13108616,.00053522,69.9341,34.7017,316.4764,43.5979,0,U,29228,999,9935,.1313841E-3,.2224E-4,0
ARIRANG-2 (KOMPSAT-2),2006-031A,2026-05-26T23:53:10.846752,14.64645417,.00152871,97.8312,332.4681,136.3308,15.4786,0,U,29268,999,5837,.14092628E-3,.705E-5,0
LAPAN-TUBSAT,2007-001A,2026-05-26T23:24:31.892832,14.85926283,.00106752,98.1345,145.7225,254.0664,105.9374,0,U,29709,999,4800,.64807766E-4,.508E-5,0
HAIYANG-1B,2007-010A,2026-05-26T23:00:53.672256,14.31020993,.00122218,98.3486,129.6287,264.2546,95.7244,0,U,31113,999,99759,.54637156E-4,.102E-5,0
COSMO-SKYMED 1,2007-023A,2026-05-26T22:43:33.799872,14.96984748,.00018195,97.8862,338.6258,94.1988,265.9442,0,U,31598,999,2661,.30640947E-3,.3465E-4,0
TERRASAR-X,2007-026A,2026-05-25T08:03:01.275552,15.19148941,.0001923,97.4456,153.3686,87.6040,272.5415,0,U,31698,999,4975,.23860628E-4,.434E-5,0
WORLDVIEW-1 (WV-1),2007-041A,2026-05-26T19:46:31.721664,15.24648949,.00040159,97.3925,266.8806,117.6757,242.4889,0,U,32060,999,3962,.287508E-3,.703E-4,0
YAOGAN-3,2007-055A,2026-05-26T23:36:44.468928,14.90688190,.00019849,97.8174,177.0721,95.5609,264.5836,0,U,32289,999,271,.28101988E-3,.2701E-4,0
COSMO-SKYMED 2,2007-059A,2026-05-26T23:06:20.165760,14.82150778,.00014702,97.8885,330.8690,88.2849,271.8532,0,U,32376,999,99885,.61705703E-4,.439E-5,0
RADARSAT-2,2007-061A,2026-05-26T23:26:16.848096,14.29982925,.00012837,98.5785,154.2124,85.4426,274.6903,0,U,32382,999,96292,-.469545E-5,-.56E-6,0
CARTOSAT-2A,2008-021A,2026-05-26T22:35:41.061408,14.79199704,.00117805,97.7650,196.3742,173.5423,186.5943,0,U,32783,999,97566,.8010531E-5,.9E-7,0
HUANJING 1A (HJ-1A),2008-041A,2026-05-26T22:13:47.859168,14.83931446,.00181274,97.6675,133.5890,204.1506,155.8860,0,U,33320,999,95525,.18701236E-3,.1507E-4,0
HUANJING 1B (HJ-1B),2008-041B,2026-05-26T22:52:40.969344,14.83275074,.00347126,97.6514,136.8505,252.7728,106.9686,0,U,33321,999,95526,.98593067E-4,.762E-5,0
