OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-08,2003-005A,2026-05-26T16:08:18.656160,2.00561770,.01479447,54.8855,215.8237,53.0232,312.1729,0,U,27663,999,17088,0,.1E-6,0
GPS BIIR-11,2004-009A,2026-05-26T22:46:48.130752,2.00555453,.01151875,54.8480,276.5450,172.1529,186.4815,0,U,28190,999,16251,0,-.83E-6,0
GPS BIIR-13,2004-045A,2026-05-26T08:37:46.103232,2.00554971,.0169818,55.1491,325.7748,315.8543,42.0577,0,U,28474,999,15798,0,-.89E-6,0
GPS BIIR-14M,2005-038A,2026-05-26T09:11:20.488128,2.00567214,.01277433,54.8965,274.0571,296.0169,41.4990,0,U,28874,999,15139,0,-.82E-6,0
METEOSAT-9 (MSG-2),2005-049B,2026-05-26T21:01:34.412736,1.00275490,.00015687,9.3158,54.3780,328.0037,223.1312,0,U,28912,999,678,0,.125E-5,0
GPS BIIR-16M,2006-052A,2026-05-24T11:39:43.033536,2.00556903,.00856093,54.9373,214.9459,90.6159,270.4238,0,U,29601,999,14293,0,-.12E-6,0
GPS BIIR-17M,2007-047A,2026-05-26T18:50:31.706880,2.00556339,.01659067,54.0801,80.9474,86.9698,274.8979,0,U,32260,999,13638,0,-.5E-6,0
GPS BIIR-18M,2007-062A,2026-05-26T20:23:31.571808,2.00558846,.00353251,55.0494,275.0101,164.2474,9.4538,0,U,32384,999,13508,0,-.82E-6,0
GOES 14,2009-033A,2026-05-26T21:32:31.228224,1.00117130,.00019802,1.6375,83.2866,348.0279,290.1588,0,U,35491,999,637,0,-.193E-5,0
GOES 15,2010-008A,2026-05-26T14:16:01.197984,1.00275127,.00051239,1.2211,83.2251,32.2461,46.1346,0,U,36411,999,5942,0,.23E-6,0
GSAT0101 (GALILEO-PFM),2011-060A,2026-05-22T00:55:44.329728,1.70475642,.0003643,57.0040,342.4699,41.9521,318.0951,0,U,37846,999,9067,0,-.87E-6,0
GSAT0102 (GALILEO-FM2),2011-060B,2026-05-24T21:27:21.877344,1.70475962,.00039026,57.0043,342.3932,11.2637,346.7410,0,U,37847,999,9072,0,-.9E-6,0
LUCH 5A,2011-074B,2026-05-26T14:45:31.644576,1.00268816,.0002448,8.7017,74.1217,354.5964,203.9510,0,U,37951,999,5283,0,-.47E-6,0
METEOSAT-10 (MSG-3),2012-035B,2026-05-26T22:31:20.161056,1.00273863,.0001968,4.6235,61.1190,329.2986,191.9921,0,U,38552,999,5064,0,-.3E-7,0
SARSAT 13 (METOP-B),2012-049A,2026-05-26T22:21:12.979008,14.21426023,.00032587,98.6516,198.8533,65.6815,294.4703,0,U,38771,999,71024,.71616543E-4,.113E-5,0
GPS BIIF-3,2012-053A,2026-05-26T09:06:13.297248,2.00567145,.01791695,53.5818,144.4925,65.4577,296.4176,0,U,38833,999,9900,0,.87E-6,0
GSAT0103 (GALILEO-FM3),2012-055A,2026-05-23T06:03:23.148000,1.70473380,.00054823,55.7947,102.2291,300.3208,59.5856,0,U,38857,999,8458,0,.21E-6,0
GPS BIIF-4,2013-023A,2026-05-26T17:51:41.601600,2.00563656,.01417204,54.5214,269.8468,50.9238,310.3116,0,U,39166,999,9545,0,-.79E-6,0
INSAT-3D,2013-038B,2026-05-26T23:08:08.584800,1.00273308,.00008955,1.8733,82.7963,324.6623,313.6247,0,U,39216,999,4686,0,-.334E-5,0
GPS BIIF-5,2014-008A,2026-05-26T05:55:45.690240,2.00558424,.00841753,53.6508,150.2145,230.8905,128.3851,0,U,39533,999,8924,0,.91E-6,0
LUCH 5V,2014-023A,2026-05-26T20:42:21.517056,1.00271810,.00023371,5.0830,69.9632,15.3254,204.4987,0,U,39727,999,4414,0,-.265E-5,0
GPS BIIF-6,2014-026A,2026-05-26T12:32:21.026112,2.00562665,.00384058,56.5087,332.3606,326.8892,32.8825,0,U,39741,999,8810,0,-.88E-6,0
GPS BIIF-7,2014-045A,2026-05-26T02:46:01.316928,2.00556968,.00324701,55.3395,89.3439,118.5092,241.7881,0,U,40105,999,8563,0,-.23E-6,0
GSAT0201 (GALILEO 5),2014-050A,2026-05-25T18:42:30.308544,1.85520002,.16712172,48.9004,274.3545,178.5208,182.0639,0,U,40128,999,7790,0,-.101E-5,0
GSAT0202 (GALILEO 6),2014-050B,2026-05-24T22:58:19.353216,1.85520586,.16722092,48.9181,273.4734,179.2149,181.1057,0,U,40129,999,8005,0,-.96E-6,0
GPS BIIF-8,2014-068A,2026-05-26T11:39:11.408544,2.00574972,.00664453,56.9732,31.7907,69.8059,290.9427,0,U,40294,999,8477,0,-.107E-5,0
GLONASS-K 2,2014-075A,2026-05-24T08:50:39.037632,2.13101372,.0022388,63.6148,191.1969,211.5449,148.3894,0,U,40315,999,8934,0,.41E-6,0
GPS BIIF-9,2015-013A,2026-05-26T02:58:24.636864,2.00552719,.01091452,53.1697,205.0901,40.0480,320.8238,0,U,40534,999,8138,0,.25E-6,0
GSAT0203 (GALILEO 7),2015-017A,2026-05-24T03:54:38.212128,1.70476041,.00022589,56.7947,342.2501,291.5829,68.4129,0,U,40544,999,6879,0,-.9E-6,0
GSAT0204 (GALILEO 8),2015-017B,2026-05-26T04:16:56.666496,1.70475781,.00017649,56.8004,342.2136,262.8648,97.1363,0,U,40545,999,3187,0,-.91E-6,0
GPS BIIF-10,2015-033A,2026-05-25T18:49:18.610752,2.00557451,.01150112,54.0004,268.0099,30.1200,330.5220,0,U,40730,999,7954,0,-.79E-6,0
METEOSAT-11 (MSG-4),2015-034A,2026-05-26T22:33:49.921632,1.00273653,.00016541,3.1489,71.2225,0.5749,160.4325,0,U,40732,999,700,0,.66E-6,0
GSAT0205 (GALILEO 9),2015-045A,2026-05-24T07:17:44.873376,1.67409242,.00064058,54.9357,222.4171,263.0112,96.9692,0,U,40889,999,6656,0,-.14E-6,0
GSAT0206 (GALILEO 10),2015-045B,2026-05-24T09:46:33.752640,1.70474019,.00017279,54.9514,222.2612,22.9304,337.1304,0,U,40890,999,6663,0,-.13E-6,0
GPS BIIF-11,2015-062A,2026-05-26T08:09:17.456832,2.00567099,.01114449,56.9451,31.6527,231.2632,127.7704,0,U,41019,999,7739,0,-.107E-5,0
ELEKTRO-L 2,2015-074A,2026-05-26T01:55:02.394912,1.00271926,.00014434,6.6410,70.7915,269.2048,277.9183,0,U,41105,999,3828,0,-.116E-5,0
GSAT0209 (GALILEO 12),2015-079A,2026-05-26T08:02:29.087232,1.70473953,.00055506,55.8151,101.8607,336.9606,22.9689,0,U,41174,999,6440,0,.5E-7,0
GSAT0208 (GALILEO 11),2015-079B,2026-05-25T09:10:20.949024,1.70473719,.00049785,55.8130,101.8837,338.1073,21.8293,0,U,41175,999,6480,0,.11E-6,0
GPS BIIF-12,2016-007A,2026-05-26T10:18:10.833120,2.00552784,.00960977,55.5114,90.3218,247.3190,111.6330,0,U,41328,999,7540,0,-.23E-6,0
GSAT0211 (GALILEO 14),2016-030A,2026-05-23T03:50:15.655488,1.70474082,.00026761,55.1018,222.3833,335.5312,24.5109,0,U,41549,999,6224,0,-.14E-6,0
