OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INMARSAT 4-F2 (SOUTHPAN/PRN 122),2005-044A,2026-05-26T09:43:22.228032,1.00273228,.00030786,5.0676,43.7387,21.1994,108.3737,0,U,28899,999,7530,0,-.259E-5,0
GSAT-8 (GAGAN/PRN 127),2011-022A,2026-05-26T22:46:55.619040,1.00271065,.00027717,2.0783,82.0739,227.8375,331.3974,0,U,37605,999,5300,0,.89E-6,0
LUCH 5A (SDCM/PRN 140),2011-074B,2026-05-26T14:45:31.644576,1.00268816,.0002448,8.7017,74.1217,354.5964,203.9510,0,U,37951,999,5283,0,-.47E-6,0
SES-5 (EGNOS/PRN 136),2012-036A,2026-05-26T22:32:42.528768,1.00272264,.00020319,0.0519,306.9100,117.3490,163.4044,0,U,38652,999,4424,0,.38E-6,0
GSAT-10 (GAGAN/PRN 128),2012-051B,2026-05-26T22:54:54.853056,1.00273145,.00077635,0.0406,261.4673,183.0092,226.7624,0,U,38779,999,4988,0,-.161E-5,0
LUCH 5B (SDCM/PRN 125),2012-061A,2026-05-26T00:51:38.752416,1.00270481,.0001449,10.4386,50.1036,142.2880,47.7693,0,U,38977,999,4938,0,-.14E-5,0
ASTRA 5B (EGNOS/PRN 123),2014-011B,2026-05-26T19:12:40.552704,1.00271566,.00025249,0.0521,323.1719,74.2565,158.5858,0,U,39617,999,4445,0,.141E-5,0
LUCH 5V (SDCM/PRN 141),2014-023A,2026-05-26T20:42:21.517056,1.00271810,.00023371,5.0830,69.9632,15.3254,204.4987,0,U,39727,999,4414,0,-.265E-5,0
GSAT-15 (GAGAN/PRN 139),2015-065A,2026-05-26T22:57:54.565920,1.00272927,.00041245,0.0037,302.8458,123.6075,256.0603,0,U,41028,999,3858,0,-.254E-5,0
EUTELSAT 117 WEST B (WAAS/PRN 131),2016-038B,2026-05-26T09:59:14.843328,1.00271833,.00000856,0.0047,130.7545,91.1425,54.9124,0,U,41589,999,3644,0,-.9E-7,0
SES-15 (WAAS/PRN 133),2017-026A,2026-05-26T21:54:21.633696,1.00269656,.00006528,0.0195,331.4349,76.6827,35.7976,0,U,42709,999,722,0,.64E-6,0
QZS-2 (QZSS/PRN 194),2017-028A,2026-05-25T13:25:01.121664,1.00289658,.07606261,39.4625,243.4883,269.0192,72.4917,0,U,42738,999,739,0,-.23E-5,0
QZS-3 (QZSS/PRN 199),2017-048A,2026-05-26T23:07:23.656800,1.00265646,.00020842,0.0686,218.2169,205.2201,294.8885,0,U,42917,999,3204,0,-.344E-5,0
QZS-4 (QZSS/PRN 195),2017-062A,2026-05-26T09:50:21.174720,1.00257852,.07451371,40.1209,343.7585,271.4335,274.9790,0,U,42965,999,3158,0,-.359E-5,0
BEIDOU-3 G1 (PRN 130),2018-085A,2026-05-26T21:34:08.571648,1.00271638,.00081639,2.8167,97.9510,342.6883,287.3290,0,U,43683,999,2784,0,-.104E-5,0
EUTELSAT 5 WEST B (EGNOS/PRN 121),2019-067A,2026-05-26T22:29:50.305056,1.00271926,.00032333,0.0648,343.9356,78.8166,154.2030,0,U,44624,999,2422,0,-.38E-6,0
BEIDOU-3 G2 (PRN 144),2020-017A,2026-05-26T22:54:02.436768,1.00271154,.00026126,2.8232,47.0503,13.8237,247.1895,0,U,45344,999,2304,0,-.136E-5,0
BEIDOU-3 G3 (PRN 143),2020-040A,2026-05-26T23:02:46.598784,1.00267859,.00032432,2.3975,67.4084,337.6040,295.7071,0,U,45807,999,2185,0,-.349E-5,0
GALAXY 30 (WAAS/PRN 135),2020-056C,2026-05-26T21:55:29.025696,1.00269822,.00023873,0.0159,359.3435,58.9249,30.0883,0,U,46114,999,2108,0,.41E-6,0
QZS-1R (QZSS/PRN 196),2021-096A,2026-05-26T16:16:55.329888,1.00263367,.07533865,37.4203,79.8995,271.4143,272.2577,0,U,49336,999,1679,0,-.276E-5,0
QZS-6 (QZSS/PRN 200),2025-023A,2026-05-26T22:57:02.149632,1.00270928,.00024468,0.0126,324.4536,103.3095,251.5331,0,U,62876,999,473,0,-.229E-5,0
