OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HST,1990-037B,2026-05-26T21:18:18.648576,15.30501614,.0001302,28.4732,226.1196,268.2124,91.8322,0,U,20580,999,78530,.21113436E-3,.6641E-4,0
POLAR,1996-013A,2026-05-25T16:48:35.379936,1.29846065,.6447925,79.8309,227.3152,209.8528,88.4700,0,U,23802,999,14456,0,.12E-6,0
SWAS,1998-071A,2026-05-26T19:28:13.141344,15.09441774,.00085617,69.8961,282.6369,279.9524,80.0673,0,U,25560,999,49404,.26743941E-3,.4189E-4,0
CXO,1999-040B,2026-05-28T05:16:46.428384,0.37805843,.78661114,55.8621,117.1917,310.4222,0.0280,0,U,25867,999,1724,0,.426E-5,0
XMM-NEWTON,1999-066A,2026-05-27T09:44:52.341504,0.50128828,.46791873,64.5922,283.2490,65.2783,0.1338,0,U,25989,999,2290,0,-.41E-6,0
TERRA,1999-068A,2026-05-26T20:46:13.783584,14.61083186,.00010676,97.9469,197.2557,327.8921,141.0832,0,U,25994,999,40649,.88950224E-4,.393E-5,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-05-28T01:24:12.660768,0.44849367,.90279327,149.8742,47.2072,264.1302,0.1148,0,U,26410,999,2021,0,.3702E-4,0
CLUSTER II-FM8 (TANGO),2000-045B,2026-05-23T16:10:02.680032,0.44403233,.90315813,150.1185,47.6077,264.3140,3.6732,0,U,26464,999,2020,0,.3023E-4,0
ODIN,2001-007A,2026-05-26T13:59:09.552480,15.68806633,.00048592,97.3897,186.2456,170.3145,189.8211,0,U,26702,999,38600,.10830204E-2,.125328E-2,0
TIMED,2001-055B,2026-05-26T19:10:27.790464,14.95231912,.00002237,74.0676,278.0808,141.3423,218.7778,0,U,26998,999,32762,.12153023E-3,.1298E-4,0
CORIOLIS,2003-001A,2026-05-26T15:14:10.158720,14.19938192,.00127852,98.7128,153.8487,275.6693,84.3025,0,U,27640,999,21116,.72074919E-4,.109E-5,0
SORCE,2003-004A,2026-05-26T08:31:00.374880,15.03572320,.00187159,39.9926,26.2264,256.7565,103.1141,0,U,27651,999,26861,.24809354E-3,.3311E-4,0
MOST,2003-031D,2026-05-26T22:50:04.747776,14.21317386,.00090584,98.7047,154.9738,319.1244,40.9253,0,U,27843,999,18769,.53471035E-4,.73E-6,0
SCISAT 1,2003-036A,2026-05-26T14:47:01.140288,14.81421602,.00086608,73.9299,214.2005,281.6545,78.3659,0,U,27858,999,22825,.66915697E-4,.487E-5,0
SWIFT,2004-047A,2026-05-26T19:13:11.723232,15.66043131,.00033683,20.5543,349.6004,19.8514,340.2063,0,U,28485,999,18350,.46908793E-3,.51393E-3,0
HINODE (SOLAR-B),2006-041A,2026-05-26T15:43:54.375744,14.68586124,.00173853,98.0552,163.1256,1.5753,358.5504,0,U,29479,999,5171,.13270271E-3,.723E-5,0
SHIJIAN-6 02A (SJ-6 02A),2006-046A,2026-05-26T21:58:03.953856,15.16652467,.00027063,97.6382,187.8247,181.2648,178.8579,0,U,29505,999,6904,.30599794E-3,.5919E-4,0
SHIJIAN-6 02B (SJ-6 02B),2006-046B,2026-05-26T22:51:10.081728,15.01309173,.00131556,97.7167,176.1420,124.8878,235.3584,0,U,29506,999,6755,.10510676E-3,.1294E-4,0
FGRST (GLAST),2008-029A,2026-05-26T21:09:54.864000,15.23810322,.00086964,25.5840,352.4008,75.5033,284.6469,0,U,33053,999,99258,.13809343E-3,.3762E-4,0
SDO,2010-005A,2026-05-26T08:45:19.086336,1.00271598,.00014553,34.6089,86.6704,37.2841,149.4013,0,U,36395,999,5984,0,-.7E-6,0
CRYOSAT 2,2010-013A,2026-05-26T22:09:08.742240,14.51901818,.00024149,92.0334,272.1355,84.9771,275.1712,0,U,36508,999,85499,.51419188E-4,.21E-5,0
X-SAT,2011-015C,2026-05-26T22:52:41.699424,14.25198091,.00150783,98.3498,124.9900,48.5695,311.6778,0,U,37389,999,78465,-.4240213E-4,-.141E-5,0
GCOM-W1 (SHIZUKU),2012-025A,2026-05-26T19:21:10.894176,14.57100838,.00017941,98.2016,87.6872,90.8336,290.7455,0,U,38337,999,74592,.11643549E-3,.479E-5,0
NUSTAR,2012-031A,2026-05-27T00:00:02.000160,15.08567335,.00073555,6.0254,193.0550,161.9503,97.9847,0,U,38358,999,130,.18427262E-3,.382E-4,0
NEOSSAT,2013-009D,2026-05-26T22:55:19.138368,14.35818038,.00100923,98.4174,327.4934,314.4740,45.5620,0,U,39089,999,69369,.73780955E-4,.171E-5,0
BRITE-AUSTRIA,2013-009F,2026-05-26T23:08:32.179776,14.36532388,.00091703,98.3990,326.9261,308.0315,52.0043,0,U,39091,999,69400,.7596036E-4,.18E-5,0
IRIS,2013-033A,2026-05-26T13:09:15.752736,14.85833562,.00252515,97.9344,345.8925,32.7243,327.5530,0,U,39197,999,69716,.12171809E-3,.1009E-4,0
HISAKI (SPRINT-A),2013-049A,2026-05-26T22:01:33.356352,13.55541907,.01368206,29.7217,328.1452,204.5233,154.8783,0,U,39253,999,62853,.99159508E-4,.141E-5,0
CASSIOPE,2013-055A,2026-05-26T21:25:02.727552,15.23320079,.02991433,80.9139,92.5393,133.7877,228.8530,0,U,39265,999,66442,.38697187E-3,.34463E-3,-.635572E-6
STSAT-3,2013-066G,2026-05-26T22:29:53.119104,15.02594497,.0010391,97.6164,117.1743,104.1128,256.1253,0,U,39422,999,68101,.36771807E-3,.4841E-4,0
SWARM B,2013-067A,2026-05-26T20:32:47.850432,15.28403676,.00032757,87.7446,348.7987,97.9893,262.1728,0,U,39451,999,67998,.12094825E-3,.3377E-4,0
SWARM A,2013-067B,2026-05-26T20:37:59.988576,15.50461029,.00031642,87.3336,64.1592,86.6957,273.4666,0,U,39452,999,70294,.21212389E-3,.12118E-3,0
SWARM C,2013-067C,2026-05-26T20:37:51.745152,15.50462794,.00031537,87.3336,62.7406,86.6306,273.5316,0,U,39453,999,70290,.21004119E-3,.12001E-3,0
BRITE-CA1 (TORONTO),2014-033L,2026-05-26T20:08:07.113408,14.72643109,.00782321,97.9711,276.1643,346.2686,13.6393,0,U,40020,999,63907,.1118141E-3,.693E-5,0
OCO 2,2014-035A,2026-05-26T20:49:36.032160,14.57090348,.00014318,98.2012,88.4870,88.3616,271.7747,0,U,40059,999,63294,.1036095E-3,.421E-5,0
BRITE-PL2 (HEWELIUSZ),2014-049B,2026-05-26T21:09:57.446496,14.94501277,.00141276,97.9076,258.7218,174.7427,185.3943,0,U,40119,999,63826,.17470831E-3,.183E-4,0
MMS 1,2015-011A,2026-05-27T00:00:02.000160,0.28369161,.83429636,71.8961,349.0812,166.9571,297.2632,0,U,40482,999,138,0,-.119E-5,0
MMS 2,2015-011B,2026-05-27T00:00:02.000160,0.28369152,.83437389,71.8963,349.0834,166.9628,297.2508,0,U,40483,999,138,0,-.119E-5,0
MMS 3,2015-011C,2026-05-27T00:00:02.000160,0.28369118,.83429415,71.8992,349.0879,166.9573,297.2488,0,U,40484,999,138,0,-.119E-5,0
MMS 4,2015-011D,2026-05-27T00:00:02.000160,0.28369123,.83425269,71.8957,349.0835,166.9650,297.2372,0,U,40485,999,138,0,-.119E-5,0
ASTROSAT,2015-052A,2026-05-26T19:59:13.704864,14.82463423,.00074755,5.9988,309.0623,89.2722,270.8262,0,U,40930,999,57665,.1208227E-3,.1663E-4,0
DAMPE,2015-078A,2026-05-26T23:43:48.120096,15.30722991,.00128489,97.4563,152.3530,144.2519,215.9584,0,U,41173,999,58130,.48482322E-4,.1364E-4,0
PISAT,2016-059B,2026-05-26T23:02:06.107424,14.68940476,.00274745,97.8178,148.3258,273.6819,86.1245,0,U,41784,999,51662,.16780554E-3,.94E-5,0
HXMT (HUIYAN),2017-034A,2026-05-26T19:41:49.324128,15.18255339,.00313762,43.0144,301.9993,7.1963,352.9330,0,U,42758,999,49441,.28217336E-3,.5719E-4,0
FLYING LAPTOP,2017-042G,2026-05-26T23:41:44.124000,15.00987279,.00182986,97.4590,303.3513,192.5700,167.5071,0,U,42831,999,48327,.37035714E-3,.4685E-4,0
ZHANGHENG 1-01 (CSES-1),2018-015C,2026-05-26T22:50:08.882880,15.21043521,.00157224,97.6853,312.1929,342.0199,18.0477,0,U,43194,999,46141,.34797388E-3,.7679E-4,0
SALSAT,2020-068K,2026-05-26T22:48:44.501184,15.29438454,.00103702,97.8852,148.7285,27.3279,332.8504,0,U,46495,999,31211,.31235681E-3,.8847E-4,0
IXPE,2021-121A,2026-05-27T00:00:02.000160,15.10022782,.00072122,0.2284,117.4734,116.8516,253.1836,0,U,49954,999,570,.60382769E-3,.11048E-3,0
SMILE,2026-109A,2026-05-24T15:40:35.120928,14.57062785,.00091232,70.0007,229.2745,259.5159,100.4951,0,U,69123,999,80,-.42378883E-3,-.1976E-4,0
