OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-05-26T18:38:25.768896,15.49400906,.00074211,51.6334,46.0936,101.1111,259.0712,0,U,25544,999,56843,.21582061E-3,.11632E-3,0
POISK,2009-060A,2026-05-26T18:38:25.768896,15.49400906,.00074211,51.6334,46.0936,101.1111,259.0712,0,U,36086,999,56803,.21582061E-3,.11632E-3,0
CSS (TIANHE),2021-035A,2026-05-26T20:31:31.598112,15.59843934,.00108591,41.4677,91.7295,287.6757,72.2896,0,U,48274,999,28983,.13679072E-3,.11014E-3,0
ISS (NAUKA),2021-066A,2026-05-26T18:38:25.768896,15.49400906,.00074211,51.6334,46.0936,101.1111,259.0712,0,U,49044,999,56807,.21582061E-3,.11632E-3,0
FREGAT DEB,2011-037PF,2026-05-26T03:49:04.174176,12.41723479,.09197435,51.6184,68.0832,234.5303,116.6319,0,U,49271,999,22231,.34880324E-1,.21683E-3,0
CSS (WENTIAN),2022-085A,2026-05-26T20:31:31.598112,15.59843934,.00108591,41.4677,91.7295,287.6757,72.2896,0,U,53239,999,28823,.13679072E-3,.11014E-3,0
CSS (MENGTIAN),2022-143A,2026-05-26T20:31:31.598112,15.59843934,.00108591,41.4677,91.7295,287.6757,72.2896,0,U,54216,999,28988,.13679072E-3,.11014E-3,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-05-26T20:20:10.026528,15.70750822,.00032556,51.6270,28.5262,107.4240,252.7114,0,U,66052,999,3464,.50018151E-3,.63281E-3,0
HTV-X1,2025-241A,2026-05-26T05:38:41.045856,15.65005268,.00071571,51.6375,51.4083,89.2746,270.9069,0,U,66174,999,3291,.29012001E-3,.28651E-3,0
SZ-21 MODULE,2025-246C,2026-05-26T20:28:48.377280,15.74422799,.00058729,41.4732,80.0075,227.6138,132.4209,0,U,66515,999,3037,.28832546E-3,.43024E-3,0
SHENZHOU-22,2025-272A,2026-05-26T20:31:31.598112,15.59843934,.00108591,41.4677,91.7295,287.6757,72.2896,0,U,66645,999,28990,.13679072E-3,.11014E-3,0
SOYUZ-MS 28,2025-275A,2026-05-26T18:38:25.768896,15.49400906,.00074211,51.6334,46.0936,101.1111,259.0712,0,U,66664,999,56815,.21582061E-3,.11632E-3,0
DUPLEX,1998-067XS,2026-05-26T22:28:38.585280,15.60815669,.0005212,51.6293,36.6538,111.8653,248.2896,0,U,66906,999,2733,.43461639E-3,.36626E-3,0
ISS OBJECT XY,1998-067XY,2026-05-26T22:15:12.139776,15.83781499,.00053279,51.6231,26.0071,172.4128,187.6956,0,U,66912,999,2746,.10415459E-2,.242072E-2,0
KNACKSAT-2,1998-067XZ,2026-05-26T22:34:17.994720,15.57859163,.00117789,51.6303,41.1867,123.8339,236.3776,0,U,67683,999,1696,.58297151E-3,.44177E-3,0
CORAL,1998-067YA,2026-05-26T09:39:10.597536,15.68912300,.00128021,51.6258,39.8216,127.6341,232.5820,0,U,67684,999,1693,.1257403E-2,.150358E-2,0
GXIBA-1,1998-067YB,2026-05-26T23:05:17.379744,15.59072973,.00133716,51.6298,40.5786,122.0675,238.1619,0,U,67685,999,1697,.67756078E-3,.53974E-3,0
UITMSAT-2,1998-067YC,2026-05-26T21:13:31.534464,15.61461386,.00096009,51.6286,40.0615,107.9257,252.2784,0,U,67686,999,1697,.78561371E-3,.68693E-3,0
LEOPARD,1998-067YD,2026-05-25T22:54:44.466048,15.58475402,.00096361,51.6302,45.8616,101.1863,259.0214,0,U,67687,999,1673,.64119945E-3,.49775E-3,0
HMU-SAT2,1998-067YE,2026-05-25T23:01:04.666656,15.60228869,.00096666,51.6296,45.1385,102.2509,257.9567,0,U,67688,999,1674,.67871279E-3,.56426E-3,0
CREW DRAGON 12,2026-031A,2026-05-26T18:38:25.768896,15.49400906,.00074211,51.6334,46.0936,101.1111,259.0712,0,U,67796,999,56836,.21582061E-3,.11632E-3,0
PROGRESS-MS 33,2026-058A,2026-05-26T18:38:25.768896,15.49400906,.00074211,51.6334,46.0936,101.1111,259.0712,0,U,68319,999,56819,.21582061E-3,.11632E-3,0
CYGNUS NG-24,2026-079A,2026-05-26T18:38:25.768896,15.49400906,.00074211,51.6334,46.0936,101.1111,259.0712,0,U,68689,999,56848,.21582061E-3,.11632E-3,0
PROGRESS-MS 34,2026-093A,2026-05-26T18:38:25.768896,15.49400906,.00074211,51.6334,46.0936,101.1111,259.0712,0,U,68837,999,56852,.21582061E-3,.11632E-3,0
TIANZHOU-10,2026-102A,2026-05-26T20:31:31.598112,15.59843934,.00108591,41.4677,91.7295,287.6757,72.2896,0,U,69049,999,28989,.13679072E-3,.11014E-3,0
DRAGON CRS-34,2026-107A,2026-05-26T18:38:25.768896,15.49400906,.00074211,51.6334,46.0936,101.1111,259.0712,0,U,69103,999,56856,.21582061E-3,.11632E-3,0
SHENZHOU-23,2026-113A,2026-05-26T20:31:31.598112,15.59843934,.00108591,41.4677,91.7295,287.6757,72.2896,0,U,69180,999,28988,.13679072E-3,.11014E-3,0
