OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
KUIPER-00299,2026-095A,2026-05-26T22:00:01.999584,15.20110864,.00090814,51.8801,346.1992,232.7779,97.1007,0,U,68864,999,516,.12762012E-2,.27753E-3,0
KUIPER-00353,2026-095B,2026-05-26T19:25:02.711424,15.38771059,.00010141,51.8859,345.5119,189.8686,170.2282,0,U,68865,999,444,.80731082E-3,.31167E-3,0
KUIPER-00357,2026-095C,2026-05-26T19:37:22.658304,15.38470397,.00033351,51.8847,345.5702,202.4292,157.6550,0,U,68866,999,444,.76673628E-3,.29285E-3,0
KUIPER-00364,2026-095D,2026-05-26T22:00:01.999584,15.34729732,.0002952,51.8831,345.1762,210.9915,301.1872,0,U,68867,999,443,.13784584E-2,.47029E-3,0
KUIPER-00375,2026-095E,2026-05-26T22:34:35.117472,15.38801630,.00011334,51.8844,344.8999,198.7364,161.3582,0,U,68868,999,446,.77972E-3,.30115E-3,0
KUIPER-00433,2026-095F,2026-05-26T22:00:01.999584,15.02070049,.00075001,51.8872,347.8028,240.9626,99.4064,0,U,68869,999,443,.12801156E-2,.16773E-3,0
KUIPER-00437,2026-095G,2026-05-26T13:53:47.491296,15.37244809,.00071012,51.8804,346.9652,207.8780,152.1827,0,U,68870,999,440,.10151145E-2,.37433E-3,0
KUIPER-00448,2026-095H,2026-05-26T19:42:04.095072,15.38239446,.00033571,51.8862,345.5948,202.2728,157.8114,0,U,68871,999,444,.10417786E-2,.39685E-3,0
KUIPER-00459,2026-095J,2026-05-26T22:10:11.855712,15.35573959,.00107005,51.8724,345.5021,224.0713,135.9420,0,U,68872,999,445,-.39936526E-3,-.14412E-3,0
KUIPER-00468,2026-095K,2026-05-26T19:49:41.465568,15.37920583,.00051944,51.8841,345.6283,201.9664,158.1101,0,U,68873,999,444,.10273586E-2,.38727E-3,0
KUIPER-00476,2026-095L,2026-05-26T20:28:24.984480,15.36034935,.00077244,51.8745,345.7858,219.5375,140.5049,0,U,68874,999,444,.17510059E-3,.5861E-4,0
KUIPER-00478,2026-095M,2026-05-26T18:43:04.930752,15.36935597,.00078145,51.8790,346.0557,224.1574,135.8789,0,U,68875,999,443,.70265036E-3,.25493E-3,0
KUIPER-00480,2026-095N,2026-05-25T22:12:25.345440,15.37452757,.00062638,51.8771,350.0789,205.1498,154.9184,0,U,68876,999,430,.59480436E-3,.2187E-3,0
KUIPER-00482,2026-095P,2026-05-26T22:38:44.298528,15.38682912,.0002253,51.8854,344.9165,191.4884,168.6053,0,U,68877,999,446,.50999645E-3,.19456E-3,0
KUIPER-00483,2026-095Q,2026-05-26T22:00:01.999584,15.06057982,.00107368,51.8877,347.1992,240.6902,295.7639,0,U,68878,999,451,.12417869E-2,.18124E-3,0
KUIPER-00488,2026-095R,2026-05-26T20:40:58.834848,15.35724273,.00105309,51.8681,345.8271,232.3289,127.6743,0,U,68879,999,444,.71915278E-3,.25111E-3,0
KUIPER-00489,2026-095S,2026-05-26T22:03:33.100704,15.35791165,.00095553,51.8762,345.4825,231.6834,128.3293,0,U,68880,999,445,.32032078E-4,.745E-5,0
KUIPER-00499,2026-095T,2026-05-26T20:41:01.452768,15.35365702,.00095452,51.8709,345.8341,218.5689,141.4616,0,U,68881,999,444,.31446835E-3,.10612E-3,0
KUIPER-00500,2026-095U,2026-05-26T22:00:01.999584,15.11900525,.00044027,51.8880,346.4184,224.7493,68.1043,0,U,68882,999,567,-.13672076E+0,-.2155442E-1,0
KUIPER-00502,2026-095V,2026-05-25T23:39:04.338432,15.37722793,.00057486,51.8814,349.7373,207.5781,152.4902,0,U,68883,999,431,.73138829E-3,.2724E-3,0
KUIPER-00503,2026-095W,2026-05-26T22:00:01.999584,15.25144010,.00059751,51.8827,345.7376,223.5546,20.3432,0,U,68884,999,503,.15985731E-2,.40519E-3,0
KUIPER-00504,2026-095X,2026-05-26T22:00:01.999584,14.92927114,.0011355,51.8933,349.7226,248.6816,236.6276,0,U,68885,999,482,.10439939E-2,.10723E-3,0
KUIPER-00505,2026-095Y,2026-05-26T22:00:01.999584,15.31832189,.00033439,51.8844,345.2180,213.6127,261.7732,0,U,68886,999,523,-.4647196E-1,-.1323815E-1,0
KUIPER-00507,2026-095Z,2026-05-26T22:00:01.999584,15.37353957,.00011759,51.8855,345.0152,81.6619,146.1225,0,U,68887,999,361,.12034252E-2,.4462E-3,0
KUIPER-00511,2026-095AA,2026-05-26T18:31:15.138336,15.37382995,.00074372,51.8790,346.0047,209.7688,150.2876,0,U,68888,999,443,.7005756E-3,.2579E-3,0
KUIPER-00512,2026-095AB,2026-05-26T22:00:01.999584,15.23477469,.00043063,51.8869,345.6353,221.4869,32.8823,0,U,68889,999,554,.19771318E-2,.47786E-3,0
KUIPER-00519,2026-095AC,2026-05-26T22:36:27.443520,15.38762547,.00015671,51.8849,344.9084,170.5404,189.5614,0,U,68890,999,446,.86879332E-3,.33573E-3,0
KUIPER-00521,2026-095AD,2026-05-26T22:34:53.237280,15.38220632,.00007201,51.8862,344.8988,181.6378,178.4607,0,U,68891,999,446,.12438839E-2,.47475E-3,0
KUIPER-00524,2026-095AE,2026-05-26T19:35:56.680800,15.38489788,.00019282,51.8845,345.5666,201.0530,159.0378,0,U,68892,999,444,.82271378E-3,.31478E-3,0
VIASAT-3 F3,2026-096A,2026-05-22T12:09:50.638176,1.26078027,.12818138,2.3429,280.4148,181.0731,252.6119,0,U,68893,999,30,0,-.123E-5,0
FALCON HEAVY R/B,2026-096B,2026-05-26T08:01:01.110432,1.35919134,.1483189,2.6676,279.9560,181.0012,178.7955,0,U,68894,999,36,0,-.114E-5,0
STARLINK-37527,2026-097A,2026-05-26T22:00:01.999584,15.37119793,.00024463,97.2846,342.6621,123.0261,151.4737,0,U,68895,999,550,-.84760553E-1,-.2742744E-1,0
STARLINK-37432,2026-097B,2026-05-26T22:00:01.999584,15.33369760,.00015493,97.2850,342.7351,101.9254,356.8518,0,U,68896,999,550,.32276198E-2,.10534E-2,0
STARLINK-37534,2026-097C,2026-05-26T11:52:42.879072,15.49210343,.00023165,97.2845,342.1981,102.7925,257.3585,0,U,68897,999,415,.72772704E-3,.3972E-3,0
STARLINK-37386,2026-097D,2026-05-26T11:49:12.844992,15.49201812,.00016776,97.2836,342.1984,92.8631,267.2812,0,U,68898,999,415,.62694728E-3,.34171E-3,0
STARLINK-37514,2026-097E,2026-05-26T22:00:01.999584,15.37260421,.00016566,97.2849,342.6793,93.7009,227.4839,0,U,68899,999,550,-.14284689E+0,-.4531929E-1,0
STARLINK-36961,2026-097F,2026-05-26T11:51:08.067168,15.49218942,.00021686,97.2817,342.1953,97.9683,262.1814,0,U,68900,999,415,.95920529E-3,.52484E-3,0
STARLINK-37360,2026-097G,2026-05-26T12:36:20.809440,15.49209617,.00017216,97.2816,342.3066,81.2313,278.9133,0,U,68901,999,416,.74401816E-3,.40614E-3,0
STARLINK-37564,2026-097H,2026-05-26T12:54:56.075328,15.49211925,.0001038,97.2854,342.2894,48.7468,311.3873,0,U,68902,999,416,.57134902E-3,.31131E-3,0
STARLINK-37567,2026-097J,2026-05-26T01:51:37.013472,15.48889416,.0002769,97.2858,341.8432,68.6666,291.4881,0,U,68903,999,409,-.33717596E-2,-.177567E-2,0
STARLINK-37528,2026-097K,2026-05-26T21:32:57.740064,15.46992571,.0001889,97.2853,342.7189,58.6877,301.4558,0,U,68904,999,422,-.10986816E-1,-.518699E-2,0
STARLINK-37494,2026-097L,2026-05-26T19:13:13.507392,15.49204467,.00009728,97.2852,342.5449,75.6381,284.4978,0,U,68905,999,420,.12171989E-2,.66708E-3,0
STARLINK-37541,2026-097M,2026-05-26T22:00:01.999584,15.34969498,.00021358,97.2845,342.6671,85.4645,207.4009,0,U,68906,999,550,-.67120755E-1,-.202128E-1,0
STARLINK-37551,2026-097N,2026-05-26T12:06:48.642624,15.49199873,.00010021,97.2849,342.1823,67.1177,293.0180,0,U,68907,999,415,.73319553E-3,.40004E-3,0
STARLINK-37566,2026-097P,2026-05-26T22:00:01.999584,15.33391255,.00021249,97.2845,342.6840,90.3678,248.3771,0,U,68908,999,550,.28798949E-2,.93906E-3,0
STARLINK-37544,2026-097Q,2026-05-26T19:16:30.597024,15.49217235,.00017656,97.2852,342.5416,100.4177,259.7273,0,U,68909,999,420,.72170026E-3,.39397E-3,0
STARLINK-37493,2026-097R,2026-05-26T22:00:01.999584,15.42348573,.00016975,97.2850,342.7032,110.5451,262.5421,0,U,68910,999,548,-.62954393E-1,-.241099E-1,0
STARLINK-37543,2026-097S,2026-05-26T22:00:01.999584,15.42033401,.00016216,97.2849,342.7331,86.1000,1.0481,0,U,68911,999,550,-.56321732E-1,-.2124475E-1,0
STARLINK-37477,2026-097T,2026-05-26T12:45:40.267584,15.49205210,.00010753,97.2856,342.2983,15.7472,344.3812,0,U,68912,999,416,.10833266E-2,.59307E-3,0
STARLINK-37504,2026-097U,2026-05-26T12:44:24.184608,15.49213274,.00018142,97.2826,342.2974,84.7054,275.4404,0,U,68913,999,416,.67747928E-3,.36961E-3,0
STARLINK-37540,2026-097V,2026-05-26T11:44:35.610720,15.49216530,.00017841,97.2859,342.2058,86.8104,273.3352,0,U,68914,999,415,.39803654E-3,.21638E-3,0
STARLINK-37516,2026-097W,2026-05-26T22:00:01.999584,15.42190266,.00022111,97.2845,342.7920,93.5447,127.6061,0,U,68915,999,550,-.55745474E-1,-.2115442E-1,0
STARLINK-37507,2026-097X,2026-05-26T22:00:01.999584,15.35920150,.00017371,97.2842,342.7844,72.9586,129.3793,0,U,68916,999,548,-.10816407E+0,-.3284118E-1,0
STARLINK-37542,2026-097Y,2026-05-26T13:02:30.983424,15.49216333,.00013521,97.2833,342.2838,97.6930,262.4475,0,U,68917,999,416,.66303756E-3,.36171E-3,0
STARLINK-37529,2026-097Z,2026-05-26T12:56:35.685024,15.49217135,.00011334,97.2858,342.2897,81.9937,278.1443,0,U,68918,999,416,.64616612E-3,.35245E-3,0
KUIPER-00370,2026-098A,2026-05-26T16:00:01.999584,15.30530895,.00154972,51.8737,171.9471,77.2053,309.5432,0,U,68919,999,497,-.40220633E-3,-.12444E-3,0
KUIPER-00380,2026-098B,2026-05-26T08:52:20.585280,15.33231229,.00094712,51.8734,173.0268,62.5705,297.6243,0,U,68920,999,399,.463859E-3,.14789E-3,0
KUIPER-00386,2026-098C,2026-05-26T11:21:04.113792,15.35411032,.000352,51.8728,172.2266,82.9382,277.2004,0,U,68921,999,401,.62307203E-3,.21444E-3,0
KUIPER-00388,2026-098D,2026-05-26T13:07:46.053984,15.29939647,.00213308,51.8752,172.6975,68.0737,292.2512,0,U,68922,999,401,.45051305E-3,.1299E-3,0
KUIPER-00405,2026-098E,2026-05-26T06:14:29.735232,15.32094393,.00153135,51.8765,173.7890,70.9592,289.3050,0,U,68923,999,397,.56734092E-3,.1757E-3,0
KUIPER-00408,2026-098F,2026-05-26T08:02:26.430432,15.30296181,.00171353,51.8732,173.5369,72.6922,287.5934,0,U,68924,999,398,-.23843135E-3,-.7487E-4,0
KUIPER-00409,2026-098G,2026-05-26T13:20:17.123136,15.33803385,.00077711,51.8729,172.0275,68.3691,291.8122,0,U,68925,999,402,-.1130063E-2,-.37732E-3,0
KUIPER-00410,2026-098H,2026-05-26T07:53:16.085760,15.30377083,.00133302,51.8768,173.4913,65.5591,294.6782,0,U,68926,999,398,.45527419E-3,.13262E-3,0
KUIPER-00412,2026-098J,2026-05-26T08:00:56.332512,15.36387916,.00031548,51.8777,172.8036,88.4353,271.6994,0,U,68927,999,399,.84119164E-3,.30053E-3,0
KUIPER-00413,2026-098K,2026-05-26T08:34:39.934560,15.29687369,.00253367,51.8735,173.6729,82.6792,277.7069,0,U,68928,999,398,.35937503E-3,.10229E-3,0
KUIPER-00414,2026-098L,2026-05-26T08:36:49.710816,15.29397192,.00229422,51.8748,173.6907,71.3994,288.9478,0,U,68929,999,398,.10478546E-2,.30295E-3,0
KUIPER-00415,2026-098M,2026-05-26T08:59:42.497088,15.33140160,.00110299,51.8766,173.0687,60.4020,299.8063,0,U,68930,999,399,.74371834E-3,.23912E-3,0
KUIPER-00416,2026-098N,2026-05-26T11:03:25.289568,15.36520493,.00011807,51.8738,172.1487,88.0309,272.0812,0,U,68931,999,401,.64976724E-3,.23203E-3,0
KUIPER-00420,2026-098P,2026-05-26T11:23:08.162592,15.35372735,.00038761,51.8770,172.2424,76.0348,284.1069,0,U,68932,999,401,.64395913E-3,.22151E-3,0
KUIPER-00421,2026-098Q,2026-05-26T08:39:31.837824,15.34119943,.00091103,51.8753,172.9748,53.7240,306.4586,0,U,68933,999,399,.73131059E-3,.24242E-3,0
KUIPER-00425,2026-098R,2026-05-26T22:00:01.999584,15.30194102,.00183202,51.8748,170.7579,76.8478,245.8140,0,U,68934,999,392,.18403205E-2,.54849E-3,0
KUIPER-00430,2026-098S,2026-05-26T09:51:49.326912,15.30551478,.00198636,51.8797,173.2974,72.2626,288.0524,0,U,68935,999,399,.38186032E-3,.11156E-3,0
KUIPER-00431,2026-098T,2026-05-26T11:25:05.217312,15.29134796,.00179896,51.8752,172.9725,73.6108,286.6851,0,U,68936,999,400,-.1760829E-2,-.50795E-3,0
KUIPER-00432,2026-098U,2026-05-26T13:47:28.103712,15.32198360,.00121918,51.8738,172.1460,68.3167,291.9115,0,U,68937,999,402,-.29169012E-2,-.91523E-3,0
KUIPER-00434,2026-098V,2026-05-26T08:37:20.871840,15.34599680,.00078305,51.8720,172.9567,59.0059,301.1695,0,U,68938,999,399,.68883145E-3,.23155E-3,0
KUIPER-00436,2026-098W,2026-05-26T09:03:44.870688,15.32862229,.00110814,51.8742,173.0760,69.2312,290.9859,0,U,68939,999,399,.68559005E-3,.21813E-3,0
KUIPER-00438,2026-098X,2026-05-26T08:29:36.566880,15.34165785,.0006132,51.8733,172.9264,72.9362,287.2295,0,U,68940,999,399,.82140068E-3,.27308E-3,0
KUIPER-00439,2026-098Y,2026-05-26T08:47:30.213888,15.33705872,.00072936,51.8753,173.0065,73.4836,286.6950,0,U,68941,999,399,.74289659E-3,.24297E-3,0
KUIPER-00440,2026-098Z,2026-05-26T22:00:01.999584,15.34373570,.00046953,51.8766,170.2572,85.2137,129.9118,0,U,68942,999,455,.1566109E-2,.52929E-3,0
KUIPER-00442,2026-098AA,2026-05-26T08:36:11.984256,15.34184368,.00068951,51.8761,172.9649,67.7796,292.3920,0,U,68943,999,399,.48565297E-3,.15978E-3,0
KUIPER-00446,2026-098AB,2026-05-26T08:33:27.624672,15.34101746,.00062052,51.8752,172.9444,64.7175,295.4453,0,U,68944,999,399,.81675946E-3,.27096E-3,0
KUIPER-00451,2026-098AC,2026-05-26T22:00:01.999584,15.29050080,.0014697,51.8775,170.6939,69.0242,291.2478,0,U,68945,999,470,.21786224E-2,.6269E-3,0
KUIPER-00452,2026-098AD,2026-05-26T11:21:40.833792,15.35595332,.0004092,51.8745,172.2312,59.3404,300.7985,0,U,68946,999,401,.62026384E-3,.21475E-3,0
KUIPER-00453,2026-098AE,2026-05-26T17:23:05.418528,15.36246280,.00039884,51.8760,170.9144,145.5704,214.5541,0,U,68947,999,405,.22270064E-2,.80378E-3,0
KUIPER-00454,2026-098AF,2026-05-26T13:09:23.671296,15.28608104,.00168099,51.8769,172.7156,64.2819,295.9897,0,U,68948,999,401,.89149474E-3,.24989E-3,0
