OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,1963-047A,2026-05-26T22:30:51.080544,14.12442176,.05461685,30.3514,118.2207,50.1212,314.6135,0,U,694,999,14269,.31307284E-3,.2642E-4,0
THOR AGENA D R/B,1964-002A,2026-05-26T22:42:57.731328,14.34054977,.00334323,99.1161,164.5324,32.3736,327.9490,0,U,733,999,24951,.90363322E-4,.205E-5,0
SL-3 R/B,1964-053B,2026-05-26T23:30:03.792384,14.61414183,.00812896,65.0761,101.6950,267.7400,91.4391,0,U,877,999,27823,.59029163E-4,.18E-5,0
SL-8 R/B,1967-045B,2026-05-26T15:12:42.439392,14.45670532,.00643581,74.0105,202.5136,192.1832,167.7774,0,U,2802,999,10028,.61295445E-4,.194E-5,0
SL-8 R/B,1968-040B,2026-05-26T23:02:57.784128,15.03690531,.00257675,74.0289,153.6986,310.4693,49.4250,0,U,3230,999,10177,.2404477E-3,.3277E-4,0
OAO 2,1968-110A,2026-05-26T12:44:40.216992,14.47342532,.00049597,34.9919,190.6002,102.5006,257.6240,0,U,3597,999,3038,.47170807E-4,.156E-5,0
ISIS 1,1969-009A,2026-05-26T22:48:43.029792,11.30430223,.17059355,88.4416,146.7345,291.1548,51.5897,0,U,3669,999,35737,.80254858E-4,.108E-5,0
SERT 2,1970-009A,2026-05-26T19:50:36.256992,13.58737722,.00045317,99.2838,85.6870,336.8567,84.8617,0,U,4327,999,79050,.36946882E-4,-.14E-6,0
SL-3 R/B,1971-028B,2026-05-26T22:35:52.645920,15.67602820,.00136675,81.2328,314.8903,1.6125,358.5173,0,U,5118,999,91,.40363274E-3,.44322E-3,0
ASTEX 1,1971-089A,2026-05-26T23:13:04.595520,14.50832895,.00157888,92.7008,177.0213,171.4370,188.7108,0,U,5560,999,87365,.11749264E-3,.463E-5,0
SL-8 R/B,1971-119B,2026-05-26T23:01:40.456992,14.39280350,.05441675,73.8887,29.2478,339.5202,18.4852,0,U,5730,999,66674,.36079704E-3,.7023E-4,0
